Artist,Track,User,Rating,Time
0,1,0,32,6
0,2,0,31,6
0,0,0,32,6
0,0,1,27,6
0,1,1,28,6
0,3,1,49,6
0,3,2,1,6
0,3,3,29,6
0,2,3,30,6
0,1,3,28,6
0,0,4,10,6
0,2,5,29,6
0,3,5,29,6
0,1,5,29,6
0,0,6,47,6
0,3,6,48,6
0,2,6,26,6
0,1,6,54,6
0,1,7,44,6
0,3,7,49,6
0,2,7,52,6
0,3,8,10,6
0,0,8,30,6
0,2,9,12,6
0,1,9,11,6
0,3,9,10,6
0,2,10,30,6
0,0,10,30,6
0,1,11,11,6
0,2,11,69,6
0,3,11,13,6
0,0,11,14,6
0,3,12,45,6
0,1,12,34,6
0,2,12,33,6
0,0,12,34,6
0,0,13,37,6
0,3,13,31,6
0,2,13,35,6
0,3,14,9,6
0,2,14,9,6
0,1,14,10,6
0,0,15,56,6
0,1,15,65,6
0,2,15,57,6
0,1,16,27,6
0,1,17,43,6
0,3,17,43,6
0,0,17,44,6
0,1,18,29,6
0,2,18,31,6
0,0,18,29,6
0,3,18,32,6
0,3,19,33,6
0,0,19,32,6
0,1,20,12,6
0,0,22,30,6
0,1,22,28,6
0,3,22,10,6
0,0,23,12,6
0,2,23,11,6
0,3,23,11,6
0,0,24,31,6
0,2,25,42,6
0,1,25,43,6
0,2,26,11,6
0,0,26,31,6
0,3,27,71,6
0,0,27,28,6
0,2,28,29,6
0,0,28,33,6
0,1,28,30,6
0,0,29,32,6
0,2,29,31,6
0,1,29,28,6
0,3,29,71,6
0,2,30,88,6
0,3,30,89,6
0,0,31,33,6
0,1,32,51,6
0,3,32,30,6
0,0,32,50,6
0,2,32,32,6
0,3,33,44,6
0,3,34,50,6
0,0,34,50,6
0,3,35,29,6
0,0,36,31,6
0,1,36,8,6
0,3,37,12,6
0,1,38,69,6
0,3,38,69,6
0,3,39,30,6
0,2,39,30,6
0,1,39,31,6
0,2,40,49,6
0,1,40,49,6
0,3,40,33,6
0,1,41,50,6
0,0,41,50,6
0,2,41,50,6
0,1,42,42,6
0,3,42,42,6
0,3,43,11,6
0,1,43,11,6
0,0,43,30,6
0,1,44,70,6
0,2,44,68,6
0,3,45,3,6
0,0,46,29,6
0,1,46,13,6
0,2,46,24,6
0,0,47,28,6
0,2,47,13,6
0,3,47,30,6
0,3,48,51,6
0,0,48,32,6
0,2,48,29,6
0,3,49,41,6
0,2,49,21,6
0,1,49,32,6
0,2,50,40,6
0,0,50,65,6
0,3,50,53,6
0,1,50,68,6
0,0,51,10,6
0,1,51,9,6
0,3,51,9,6
0,3,52,9,6
0,0,52,18,6
0,2,53,49,6
0,1,53,51,6
0,3,53,49,6
0,1,54,51,6
0,0,54,51,6
0,2,55,13,6
0,0,55,10,6
0,3,55,13,6
0,1,55,11,6
0,0,56,42,6
0,3,56,29,6
0,0,57,40,6
0,1,57,26,6
0,2,57,26,6
0,3,57,40,6
0,2,58,39,6
0,0,58,29,6
0,1,58,37,6
0,0,59,28,6
0,1,60,30,6
0,0,61,35,6
0,1,61,54,6
0,2,61,52,6
0,1,62,54,6
0,3,62,50,6
0,1,63,30,6
0,3,63,28,6
0,3,64,4,6
0,2,64,6,6
0,1,65,12,6
0,3,66,5,6
0,0,67,8,6
0,1,67,10,6
0,2,68,9,6
0,0,68,31,6
0,3,68,31,6
0,3,69,51,6
0,0,69,33,6
0,1,69,31,6
0,3,70,33,6
0,1,70,33,6
0,1,71,33,6
0,3,71,46,6
0,2,72,31,6
0,1,72,51,6
0,3,72,49,6
0,2,73,11,6
0,3,74,49,6
0,1,74,28,6
0,3,75,40,6
0,1,75,3,6
0,0,75,6,6
0,2,75,25,6
0,1,76,17,6
0,1,77,74,6
0,0,77,74,6
0,2,77,72,6
0,3,78,42,6
0,1,78,50,6
0,0,78,12,6
0,2,78,35,6
0,1,80,13,6
0,0,80,31,6
0,2,80,31,6
0,0,81,28,6
0,0,82,48,6
0,2,82,49,6
0,2,83,29,6
0,3,83,40,6
0,1,84,33,6
0,3,84,34,6
0,0,85,46,6
0,1,85,31,6
0,3,85,32,6
0,2,86,68,6
0,0,86,30,6
0,2,87,10,6
0,0,87,15,6
0,1,88,34,6
0,3,89,49,6
0,1,89,50,6
0,3,90,11,6
0,2,90,10,6
0,2,91,15,6
0,3,91,31,6
0,0,91,12,6
0,2,92,41,6
0,3,92,31,6
0,0,92,51,6
0,1,92,42,6
0,2,93,51,6
0,3,94,43,6
0,1,95,48,6
0,3,95,43,6
0,0,95,24,6
0,2,96,9,6
0,1,96,29,6
0,3,96,6,6
0,0,96,10,6
0,0,97,26,6
0,3,97,45,6
0,2,97,38,6
0,0,98,30,6
0,1,98,44,6
0,3,98,43,6
0,3,99,68,6
0,0,99,55,6
0,0,100,61,6
0,2,100,25,6
0,1,100,45,6
0,2,101,29,6
0,3,102,0,6
0,3,103,13,6
0,1,103,9,6
0,0,103,10,6
0,0,104,33,6
0,2,104,42,6
0,3,104,47,6
0,1,104,49,6
0,3,105,30,6
0,2,105,33,6
0,3,106,60,6
0,1,107,9,6
0,0,107,7,6
0,2,107,4,6
0,3,108,30,6
0,2,109,33,6
0,1,109,35,6
0,0,109,27,6
0,2,110,30,6
0,0,110,32,6
0,2,111,8,6
0,0,111,8,6
0,0,112,9,6
0,1,112,10,6
0,0,113,19,6
0,3,113,22,6
0,1,113,16,6
0,3,114,14,6
0,1,114,18,6
0,2,115,53,6
0,1,115,51,6
0,0,115,52,6
0,0,116,17,6
0,2,116,40,6
0,1,116,36,6
0,3,116,42,6
0,1,117,27,6
0,3,117,29,6
0,2,117,32,6
0,0,117,29,6
0,3,118,28,6
0,2,118,27,6
0,1,118,33,6
0,3,119,9,6
0,1,119,11,6
0,2,119,9,6
0,0,119,9,6
0,1,120,29,6
0,0,120,49,6
0,3,120,29,6
0,2,121,32,6
0,2,122,29,6
0,0,122,29,6
0,3,122,48,6
0,3,123,29,6
0,1,123,54,6
0,2,123,36,6
0,2,124,11,6
0,3,125,28,6
0,1,126,67,6
0,3,126,50,6
0,0,126,48,6
0,3,127,27,6
0,2,128,12,6
0,1,128,14,6
0,0,128,9,6
