Artist,User,HEARD_OF,OWN_ARTIST_MUSIC,LIKE_ARTIST,Uninspired,Sophisticated,Aggressive,Edgy,Sociable,Laid back,Wholesome,Uplifting,Intriguing,Legendary,Free,Thoughtful,Outspoken,Serious,Good lyrics,Unattractive,Confident,Old,Youthful,Boring,Current,Colourful,Stylish,Cheap,Irrelevant,Heartfelt,Calm,Pioneer,Outgoing,Inspiring,Beautiful,Fun,Authentic,Credible,Way out,Cool,Catchy,Sensitive,Mainstream,Superficial,Annoying,Dark,Passionate,Not authentic,Good Lyrics,Background,Timeless,Depressing,Original,Talented,Worldly,Distinctive,Approachable,Genius,Trendsetter,Noisy,Upbeat,Relatable,Energetic,Exciting,Emotional,Nostalgic,None of these,Progressive,Sexy,Over,Rebellious,Fake,Cheesy,Popular,Superstar,Relaxed,Intrusive,Unoriginal,Dated,Iconic,Unapproachable,Classic,Playful,Arrogant,Warm,Soulful
0,0,Never heard of,,,,0,,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,0,0,,,0,,,,,0,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,0,,0,0,0,,1,,0,,0,,,0,,0,,,0,,,0,,,0,0
0,1,Never heard of,,,,0,,1,0,1,,0,0,,0,0,0,,,,,,0,0,0,0,0,,,0,,,,,0,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,0,,0,1,0,0,,0,,0,0,0,,0,,0,,0,,,0,,0,,,0,,,0,,,0,0
0,2,Never heard of,,,,0,,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,0,0,,,0,,,,,0,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,0,,0,0,0,,1,,0,,0,,,0,,0,,,0,,,0,,,0,0
0,3,Never heard of,,,,0,,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,0,0,,,0,,,,,0,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,0,,0,0,0,,1,,0,,0,,,0,,0,,,0,,,0,,,0,0
0,4,Never heard of,,,,0,,0,0,0,,0,0,,0,0,0,,,,,,0,0,1,0,1,,,0,,,,,0,0,0,0,0,0,1,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,0,,1,0,0,,0,,0,,0,,,0,,0,,,0,,,0,,,0,0
0,5,Never heard of,,,,0,,0,0,0,,0,0,,0,0,0,,,,,,0,1,0,0,0,,,1,,,,,0,0,1,0,0,0,0,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,0,,0,0,0,,0,,0,,0,,,0,,1,,,0,,,0,,,1,0
0,6,Never heard of,,,,0,,0,0,0,,0,0,,0,1,0,,,,,,1,0,0,0,0,,,0,,,,,0,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,0,,0,0,0,,0,,0,,0,,,0,,0,,,0,,,0,,,0,0
0,7,Never heard of,,,,0,,0,1,0,,0,0,,1,0,0,,,,,,0,0,0,0,0,,,0,,,,,0,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,0,,0,0,0,,0,,0,,0,,,0,,0,,,0,,,1,,,0,0
0,8,Never heard of,,,,0,,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,0,0,,,0,,,,,0,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,0,,0,0,0,,0,,0,,1,,,0,,0,,,0,,,0,,,0,0
0,9,Never heard of,,,,0,,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,0,0,,,0,,,,,0,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,0,,0,0,0,,1,,0,,0,,,0,,0,,,0,,,0,,,0,0
0,10,Never heard of,,,,0,,1,0,0,,0,0,,0,0,0,,,,,,1,0,1,0,0,,,0,,,,,0,0,0,0,0,0,1,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,1,,0,0,0,,0,,0,,0,,,1,,0,,,0,,,0,,,0,0
0,11,Heard of and listened to music RECENTLY,Own none of their music,26,,0,,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,0,0,,,0,,,,,0,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,0,,0,0,0,,1,,0,,0,,,0,,0,,,0,,,0,,,0,0
0,12,Never heard of,,,,0,,0,0,0,,0,0,,0,0,0,,,,,,0,1,0,0,1,,,0,,,,,0,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,0,,0,0,0,0,,1,,0,0,0,,0,,0,,0,,,0,,0,,,0,,,0,,,0,0
0,13,Never heard of,,,,0,,0,0,1,,0,0,,0,0,0,,,,,,1,0,1,0,0,,,0,,,,,0,0,0,0,0,1,1,,,,,,0,,0,0,0,,1,0,,0,0,0,0,,1,,1,0,0,,0,,0,,0,,,1,,0,,,0,,,0,,,0,0
